CustomerID,FirstName,LastName,Email,PhoneNumber,Street,City,RewardsID
1,Leonora,Cammell,lcammell0@odnoklassniki.ru,686-858-0611,35618 Warner Road,Depok,49
2,Dodi,Winckles,dwinckles1@amazonaws.com,909-432-1611,36 Brickson Park Place,Murcia,4
3,Hamlen,Cragg,hcragg2@123-reg.co.uk,348-184-4293,7 Dahle Trail,Vamvakou,43
4,Gerry,De Fries,gdefries3@i2i.jp,429-683-8683,04152 Dayton Parkway,Bautista,0
5,Jerry,Abrahamsen,jabrahamsen4@engadget.com,324-927-8477,5 Namekagon Alley,Harnosand,22
6,Hayley,Akitt,hakitt5@army.mil,723-720-7244,3669 Dwight Road,Balyqshy,39
7,Irina,Tither,itither6@diigo.com,959-801-5439,05 Waxwing Drive,Kasoa,0
8,Rosita,Cowperthwaite,rcowperthwaite7@ted.com,600-778-7069,0901 Upham Center,Bagay,0
9,Keene,Aumerle,kaumerle8@aboutads.info,763-801-0480,9844 Bobwhite Lane,Requiao,16
10,Inglebert,Kemmett,ikemmett9@princeton.edu,842-269-9503,3 Cascade Court,Gluchow,41
11,Case,Linbohm,clinbohma@mapquest.com,222-913-3977,2112 Esch Way,Kotabaru,11
12,Janot,Panchin,jpanchinb@symantec.com,813-391-6109,2151 Springs Trail,Fahmah,0
13,Adelaida,Camacke,acamackec@tinypic.com,245-392-5675,4 Onsgard Place,Vyborg,42
14,Danette,Juleff,djuleffd@disqus.com,413-933-6855,0633 Pepper Wood Alley,Berkovitsa,0
15,Billy,Chevalier,bchevaliere@pcworld.com,314-355-2812,67828 Memorial Street,San Celestio,29
16,Myles,Jancik,mjancikf@bing.com,541-255-8787,111 Warner Center,Maomiaoji,0
17,Brigida,Heading,bheadingg@java.com,158-982-4622,40 Park Meadow Junction,Ban Khlong Bang Sao Thong,15
18,Ricca,Sebrens,rsebrensh@moonfruit.com,369-280-7826,700 Westport Park,Kakata,24
19,Cosetta,Aiken,caikeni@comsenz.com,537-772-4597,65 Kinsman Parkway,Karata,0
20,Odo,Saylor,osaylorj@umn.edu,371-810-1680,7859 Del Mar Plaza,Xiakou,1
21,Alanna,Stampfer,astampferk@prnewswire.com,504-924-8958,077 Melody Point,Klagen,28
22,Elie,Keston,ekestonl@ezinearticles.com,401-869-3015,70625 Cardinal Terrace,Nema,0
23,Rita,Arnaudin,rarnaudinm@flavors.me,320-243-5432,86 Aberg Drive,Cunday,33
24,Patric,Starr,pstarrn@parallels.com,836-220-3532,37825 Lien Crossing,Zhongwei,19
25,Mick,Kroon,mkroono@earthlink.net,591-511-1278,69231 Transport Avenue,Nggalak,44
26,Lexie,McKinna,lmckinnap@goo.ne.jp,306-125-8897,5 Autumn Leaf Park,Paris,19
27,Thorstein,Heinsen,theinsenq@delicious.com,553-848-1792,4884 Dorton Trail,Huangjindong,0
